dataset	short_step	short_pairs	short_mean_score	short_status	long_step	long_pairs	long_mean_score	long_status	renders_dir	message
flower_62	1	28	0.145012	success	5	24	0.262340	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_62/train/ours_31500/renders	
flower_63	1	28	0.133001	success	5	24	0.259492	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_63/train/ours_31500/renders	
flower_64	1	28	0.142628	success	5	24	0.261216	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_64/train/ours_31500/renders	
flower_65	1	28	0.150170	success	5	24	0.264544	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_65/train/ours_31500/renders	
flower_66	1	28	0.144717	success	5	24	0.260926	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_66/train/ours_31500/renders	
flower_67	1	28	0.153183	success	5	24	0.268476	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_67/train/ours_31500/renders	
flower_68	1	28	0.142097	success	5	24	0.261515	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_68/train/ours_31500/renders	
flower_69	1	28	0.144060	success	5	24	0.257454	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_69/train/ours_31500/renders	
flower_70	1	28	0.137768	success	5	24	0.243350	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_70/train/ours_31500/renders	
flower_71	1	28	0.056123	success	5	24	0.173753	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_71/train/ours_31500/renders	
flower_72	1	28	0.161626	success	5	24	0.293372	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_72/train/ours_31500/renders	
flower_73	1	28	0.051663	success	5	24	0.147401	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_73/train/ours_31500/renders	
flower_74	1	28	0.168424	success	5	24	0.292900	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_74/train/ours_31500/renders	
flower_75	1	28	0.146115	success	5	24	0.269431	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_75/train/ours_31500/renders	
flower_76	1	28	0.127270	success	5	24	0.238218	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_76/train/ours_31500/renders	
flower_77	1	28	0.134627	success	5	24	0.252022	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_77/train/ours_31500/renders	
flower_78	1	28	0.146966	success	5	24	0.260142	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_78/train/ours_31500/renders	
flower_79	1	28	0.128092	success	5	24	0.245900	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_79/train/ours_31500/renders	
flower_80	1	28	0.160594	success	5	24	0.277052	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_80/train/ours_31500/renders	
flower_81	1	28	0.113153	success	5	24	0.230946	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_81/train/ours_31500/renders	
flower_82	1	28	0.153190	success	5	24	0.276502	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_82/train/ours_31500/renders	
flower_83	1	28	0.155095	success	5	24	0.275106	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_83/train/ours_31500/renders	
flower_84	1	28	0.178868	success	5	24	0.298668	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_84/train/ours_31500/renders	
flower_85	1	28	0.000003	success	5	24	0.000003	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_85/train/ours_31500/renders	
flower_86	1	28	0.141682	success	5	24	0.257023	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_86/train/ours_31500/renders	
flower_87	1	28	0.119227	success	5	24	0.227785	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_87/train/ours_31500/renders	
flower_88	1	28	0.152769	success	5	24	0.273813	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_88/train/ours_31500/renders	
flower_89	1	28	0.129751	success	5	24	0.235134	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_89/train/ours_31500/renders	
flower_90	1	28	0.132706	success	5	24	0.243095	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_90/train/ours_31500/renders	
